iter	Passed	Remaining
0	52	52446
1	52	26426
2	53	17735
3	53	13396
4	54	10786
5	54	9048
6	55	7835
7	55	6918
8	56	6189
9	56	5613
10	57	5134
11	57	4735
12	57	4396
13	58	4109
14	58	3864
15	59	3644
16	59	3450
17	60	3275
18	60	3121
19	60	2982
20	61	2859
21	62	2759
22	62	2654
23	62	2558
24	63	2469
25	63	2386
26	64	2309
27	64	2238
28	64	2170
29	65	2113
30	65	2059
31	66	2005
32	66	1954
33	67	1906
34	67	1861
35	67	1819
36	68	1778
37	68	1744
38	69	1708
39	69	1679
40	70	1649
41	70	1617
42	71	1587
43	71	1557
44	72	1530
45	72	1503
46	72	1479
47	73	1455
48	73	1432
49	74	1412
50	74	1391
51	75	1371
52	75	1351
53	76	1331
54	76	1314
55	76	1296
56	77	1279
57	77	1263
58	78	1246
59	78	1231
60	79	1216
61	79	1203
62	79	1189
63	80	1175
64	80	1162
65	81	1150
66	81	1137
67	82	1124
68	82	1113
69	82	1101
70	83	1090
71	83	1082
72	84	1075
73	85	1065
74	85	1055
75	85	1044
76	86	1035
77	86	1026
78	87	1017
79	87	1010
80	88	1004
81	89	998
82	89	988
83	89	980
84	90	971
85	90	964
86	91	961
87	92	954
88	92	947
89	93	940
90	93	934
91	94	928
92	94	921
93	94	915
94	95	908
95	95	901
96	96	895
97	96	888
98	96	882
99	97	876
100	97	870
101	98	865
102	98	859
103	99	854
104	99	849
105	100	844
106	100	838
107	101	834
108	101	829
109	101	824
110	102	818
111	102	813
112	103	809
113	103	805
114	104	801
115	104	797
116	105	792
117	105	788
118	105	784
119	106	779
120	106	775
121	107	770
122	107	766
123	108	764
124	108	760
125	109	756
126	109	751
127	109	747
128	110	744
129	110	740
130	111	736
131	111	732
132	111	728
133	112	725
134	112	721
135	112	717
136	113	714
137	113	710
138	114	707
139	114	705
140	115	702
141	115	698
142	115	694
143	116	691
144	116	688
145	117	684
146	117	684
147	118	680
148	118	678
149	119	675
150	119	671
151	120	672
152	120	669
153	121	666
154	121	664
155	122	662
156	122	659
157	123	656
158	123	653
159	124	651
160	124	647
161	124	645
162	125	642
163	125	640
164	125	637
165	126	634
166	126	632
167	127	629
168	127	628
169	128	626
170	128	624
171	129	621
172	129	619
173	129	617
174	130	614
175	130	611
176	131	609
177	131	607
178	131	605
179	132	603
180	132	601
181	133	599
182	133	597
183	134	595
184	134	594
185	135	593
186	136	591
187	136	589
188	136	587
189	137	585
190	137	583
191	138	581
192	138	579
193	139	577
194	139	575
195	139	573
196	140	571
197	140	570
198	141	567
199	141	565
200	142	564
201	142	563
202	143	563
203	143	561
204	144	559
205	144	557
206	144	555
207	145	553
208	145	552
209	146	550
210	146	548
211	147	547
212	147	546
213	148	544
214	148	543
215	149	542
216	149	541
217	150	539
218	150	537
219	151	535
220	151	534
221	151	532
222	152	530
223	152	529
224	153	527
225	153	525
226	153	524
227	154	522
228	154	521
229	155	519
230	155	518
231	156	516
232	156	515
233	157	514
234	157	512
235	158	513
236	158	511
237	159	509
238	159	508
239	160	506
240	160	505
241	160	504
242	161	502
243	161	501
244	162	500
245	163	499
246	163	498
247	164	497
248	164	496
249	164	494
250	165	493
251	165	491
252	166	490
253	166	488
254	166	487
255	167	485
256	167	484
257	167	482
258	168	481
259	168	480
260	169	479
261	169	477
262	170	476
263	170	475
264	171	474
265	172	475
266	172	473
267	173	472
268	173	471
269	173	469
270	174	468
271	174	466
272	175	466
273	175	465
274	177	468
275	177	466
276	178	465
277	178	464
278	179	462
279	179	461
280	179	460
281	180	458
282	180	457
283	181	457
284	181	456
285	182	454
286	182	453
287	183	452
288	185	456
289	185	454
290	186	453
291	186	452
292	186	451
293	187	449
294	187	448
295	188	447
296	188	446
297	188	444
298	189	443
299	189	442
300	190	442
301	191	441
302	191	440
303	192	439
304	192	439
305	193	437
306	193	437
307	194	436
308	194	435
309	194	433
310	195	432
311	195	431
312	195	430
313	196	429
314	197	429
315	198	428
316	198	427
317	198	426
318	199	425
319	199	424
320	200	424
321	200	423
322	202	423
323	205	429
324	207	430
325	207	428
326	207	427
327	208	426
328	208	425
329	208	424
330	209	422
331	209	421
332	209	420
333	210	419
334	210	418
335	211	417
336	211	416
337	212	415
338	212	414
339	212	413
340	213	412
341	213	411
342	214	409
343	214	408
344	214	407
345	215	406
346	215	405
347	215	404
348	216	403
349	216	402
350	216	400
351	217	399
352	217	399
353	218	398
354	219	398
355	219	397
356	219	396
357	220	394
358	220	393
359	221	393
360	221	392
361	222	391
362	222	390
363	223	389
364	223	388
365	223	387
366	224	386
367	224	386
368	225	385
369	225	384
370	226	383
371	226	382
372	227	381
373	227	380
374	228	380
375	228	379
376	228	378
377	229	377
378	229	376
379	230	375
380	230	374
381	230	373
382	231	372
383	231	371
384	232	371
385	232	370
386	233	369
387	234	369
388	234	368
389	235	367
390	235	366
391	235	365
392	236	364
393	236	363
394	237	363
395	237	362
396	238	361
397	238	360
398	238	359
399	239	359
400	239	358
401	240	357
402	240	356
403	241	355
404	241	354
405	241	353
406	242	352
407	242	351
408	243	351
409	243	350
410	244	349
411	244	348
412	245	348
413	245	347
414	246	347
415	246	346
416	247	346
417	248	346
418	249	345
419	249	344
420	250	344
421	250	343
422	251	342
423	251	341
424	251	340
425	252	340
426	253	339
427	253	338
428	254	338
429	254	337
430	254	336
431	255	335
432	255	334
433	255	333
434	256	333
435	256	332
436	257	331
437	257	331
438	258	330
439	258	329
440	259	328
441	259	327
442	260	327
443	260	326
444	261	325
445	261	325
446	262	324
447	262	323
448	263	323
449	263	322
450	264	321
451	264	320
452	264	319
453	265	319
454	265	318
455	266	317
456	266	316
457	267	316
458	267	315
459	268	315
460	268	314
461	269	313
462	269	312
463	270	312
464	270	311
465	271	310
466	271	310
467	272	309
